arbres_espece,arbres_genre,com_adresse,lat,lon,species_count,rarity_norm,size_raw,size_norm,nn_dist_m,isolation_norm,conservation_score,cluster
ilex,Quercus,Avenue de Gravelle / Route Nouvelle,48.81838918662161,2.4379185082282153,4,0.23026315789473686,23.0,0.47619047619047616,853.4886174382369,0.486469133029958,0.4541580974955479,-1
orientalis,Platanus,Allee de Longchamp / Route de Sevres à Neuilly,48.8702223204405,2.248197423011967,6,0.14473684210526316,25.0,0.5238095238095238,122.29446642396557,0.06970506910120924,0.2485955550264924,-1
cerris,Quercus,1 Rue Emile Deslandres,48.83328754017152,2.350246670407136,2,0.4868421052631579,8.0,0.11904761904761904,66.35214144730739,0.03781921406454914,0.2568884183874224,-1
pavia,Aesculus,,48.89410543041636,2.326277977159145,1,1.0,21.0,0.4285714285714286,110.5162907017198,0.06299177636922967,0.6903687930454535,-1
glabra,Ulmus,2 Quai de l'Archeveche,48.852102027274,2.350803868692218,1,1.0,10.0,0.16666666666666666,117.53961070101866,0.06699490930064,0.580647978557009,-1
robur,Quercus,Route Ronde des Minimes,48.83417403143496,2.461320616442216,2,0.4868421052631579,30.0,0.6428571428571428,1186.6813225450553,0.6763814096244961,0.7514039912251966,-1
nigra subsp. laricio,Pinus,Carrefour de Longchamp,48.86300960058363,2.241773747107387,1,1.0,20.0,0.40476190476190477,124.40489672282337,0.0709079664531236,0.6836071858068542,-1
pseudoplatanus,Acer,,48.87870298813323,2.306474175057195,1,1.0,28.0,0.5952380952380952,122.550422926081,0.06985095849578746,0.7641930551882824,-1
sylvatica,Fagus,28 Boulevard Jourdan,48.823345239668,2.339683429513845,11,0.06698564593301437,5.0,0.047619047619047616,114.44927348302349,0.0652334872541215,0.0,-1
orientalis,Platanus,3 Q Rue des Ecoles,48.849351161300056,2.3450329331937785,6,0.14473684210526316,24.0,0.5,18.056902118303316,0.01029202421593337,0.2131896211540954,-1
orientalis,Platanus,,48.87858281831969,2.307559794134397,6,0.14473684210526316,31.0,0.6666666666666666,122.550422926081,0.06985095849578746,0.30943429123547295,-1
x hispanica,Platanus,127 Rue de Grenelle,48.85777577693094,2.314530471693944,39,0.0,25.0,0.5238095238095238,64.40615169708502,0.03671004409164746,0.15245644420925317,-1
tulipifera,Liriodendron,31 Route de ceinture du Lac Daumesnil,48.83198939877914,2.4119924411807285,4,0.23026315789473686,21.0,0.4285714285714286,24.5612167879296,0.013999335893720462,0.23289322266685714,-1
