com_adresse,count,mean_size,mean_score
31 Route de ceinture du Lac Daumesnil,17,26.41176470588235,0.2457106547741177
1 Avenue Gordon Bennett,14,13.714285714285714,0.2959683480676993
28 Boulevard Jourdan,8,19.875,0.18330469363319085
Allee de Longchamp / Route de Sevres à Neuilly,7,21.857142857142858,0.34916217661888144
6 Place Saint Pierre,6,20.0,0.34885298678161814
10 Avenue Foch,6,18.833333333333332,0.2774620987768519
Chemin de Ceinture du lac Inferieur,5,24.4,0.24680179673156905
Avenue Daumesnil / Esplanade Saint-Louis,4,26.5,0.2015363190913222
3 Place de Varsovie,3,22.0,0.2493357484545434
Cimetiere Du Pere Lachaise / Div 77,3,10.666666666666666,0.2467949567088712
Carrefour de Longchamp,3,25.0,0.40440124781261416
2 Rue Jean Formige,3,19.333333333333332,0.43521597925990735
2 Quai de l'Archeveche,3,10.666666666666666,0.2957768157305441
50 Avenue Gambetta,3,23.333333333333332,0.18492723366215494
Carrefour de la Grande Cascade / Carrefour de la Croix Catelan,3,26.333333333333332,0.3589433272190144
Route de la Ferme / Route de la Pyramide,2,17.0,0.6576725302450785
7 Avenue Winston Churchill,2,29.0,0.18157370810186368
127 Rue de Grenelle,2,18.5,0.1276659605939432
11 Boulevard d'Algerie,2,20.0,0.4347747899617099
1 Rue Emile Deslandres,2,12.5,0.19331282330970162
1 Place d'Estienne d'Orves,1,26.0,0.6068486408472793
1 Bis Rue Saint Martin,1,7.0,0.7023186132151314
1  Place du General Catroux,1,26.0,0.3749139842093085
16 Rue Joseph Kessel,1,35.0,0.6154245436111188
21 Rue Rottembourg,1,14.0,0.5419469322819666
20 Rue Saillard,1,20.0,0.569472568424509
2 Rue Saint Eleuthere,1,18.0,0.3808263053030208
2 Boulevard Henri IV,1,3.0,0.076847997090939
2 Rue Eugene Atget,1,5.0,0.3840733643698868
2 Place Emile Male,1,3.0,0.1451844917509485
1 Rue de Babylone,1,10.0,0.9272740275909162
14 Impasse Berthaud,1,11.0,0.2708560653597098
10 Villa Sainte Croix,1,19.0,0.6934356725189837
10 Avenue des Champs Elysees,1,19.0,0.357050283113594
1 Rue de la Bonne,1,27.0,0.2318100872937812
1 Rue George Eastman,1,25.0,0.4547636430370667
50 Rue de Bretagne,1,16.0,0.2856529081864704
45 Rue d'Ulm,1,10.0,0.444597836009337
43 Q Rue des Ecoles,1,24.0,0.2131896211540386
41 Avenue Gabriel,1,22.0,0.5190600110392177
3 Q Rue des Ecoles,1,24.0,0.2131896211540386
32 Route de l'Etoile,1,24.0,0.8019303285839772
260 Rue de Vaugirard,1,15.0,0.4756774611319243
3 Place Paul Painleve,1,20.0,0.2980847952085634
2 Rue du Fouarre,1,15.0,0.6978194904252303
8 Rue Payenne,1,10.0,0.5167346894474641
79 Bis Rue La Fayette,1,27.0,0.4815767005630121
60 Boulevard Lannes,1,17.0,0.2334186967479279
Avenue de Saint-Maurice,1,25.0,0.4193433611637182
8 Rue General Blaise,1,20.0,0.5152817395248728
6 Rue Paul Dukas,1,20.0,0.7396435260273113
51 Avenue du Marechal Fayolle,1,6.0,0.0968767468766104
Avenue de la Belle Gabrielle,1,18.0,0.920938911432686
Avenue de la Pepiniere / Route du Grand Marechal,1,30.0,0.8640105235724147
Avenue de Gravelle / Route Nouvelle,1,23.0,0.4541580974954309
Cimetiere Du Pere Lachaise / Div 4,1,25.0,0.2831534056594927
Cimetiere Du Pere Lachaise / Div 45,1,26.0,0.2354383888086376
Cimetiere Du Pere Lachaise / Div 75,1,14.0,0.3639777718361079
Cimetiere Du Pere Lachaise / Div 76,1,22.0,0.2411709839846205
Cimetiere De Montmartre / Div 14,1,13.0,0.4581639665007948
Cimetiere Du Pere Lachaise / Div 78,1,16.0,0.123386076681712
Cimetiere Du Pere Lachaise / Div 84,1,20.0,0.1639038563539464
Route Ronde des Minimes,1,30.0,0.7514039912251788
Place Saint-Gervais,1,12.0,0.7185818258551385
Route de Suresnes / Route des Moulins,1,10.0,0.4073868688554504
Route de la Porte Saint-James,1,29.0,0.386836338415533
Route des Tribunes,1,16.0,0.3025958583941809
Route du Pesage / Route de la Tourelle,1,22.0,0.3712565877713195
