arbres_espece,count,mean_size,mean_score
x hispanica,39,29.358974358974358,0.2301124641061565
sylvatica,11,12.727272727272727,0.12992953801023194
atlantica,8,18.25,0.284045759778382
biloba,8,21.125,0.20100406845439556
hippocastanum,8,21.25,0.2245968589388752
grandiflora,6,10.333333333333334,0.08988420365899652
fraxinifolia,6,27.333333333333332,0.3455373137367926
colurna,6,17.5,0.2461390940749928
orientalis,6,26.333333333333332,0.26845828428598045
giganteum,5,29.4,0.3558268527550605
distichum,4,28.75,0.31017854597392636
tulipifera,4,22.75,0.25524660585938785
ilex,4,16.0,0.23504125732699002
baccata,4,11.75,0.24802923912343278
sp.,3,11.0,0.28077962576381715
lotus,3,12.0,0.1880160437975702
nigra,3,24.333333333333332,0.3430549783914327
carpinifolia,3,21.0,0.34478464771399736
cerris,2,7.5,0.3227175808971334
kaki,2,15.0,0.31914337786183095
frainetto,2,14.5,0.5088121967069454
dioica,2,12.0,0.33844583946374757
decurrens,2,21.0,0.6293517685332646
babylonica,2,12.0,0.47213627392086865
carica,2,7.5,0.4504040269086755
sempervirens,2,20.0,0.37446487453444577
monspessulanum,2,14.0,0.31831686833888884
koraiensis,2,13.5,0.3216115608879492
japonicum,2,15.0,0.34947361035722657
robur,2,30.0,0.8077072573987967
ulmoides,2,14.5,0.3688380814333533
granatum,1,3.0,0.5053884669591319
glyptostroboides,1,19.0,0.6934356725189837
bungeana,1,16.0,0.6475430853270199
cappadocicum,1,18.0,0.920938911432686
araucana,1,12.0,0.6436270752315126
alba,1,7.0,0.7023186132151314
glabra,1,10.0,0.5806479785569787
excelsior,1,21.0,0.7095299250835965
bignonioides,1,24.0,0.8019303285839772
azedarach,1,10.0,0.9272740275909162
minor,1,12.0,0.7185818258551385
japonica,1,13.0,0.5920539630255607
pseudoplatanus,1,28.0,0.7641930551882653
pseudoacacia,1,15.0,0.6978194904252303
pomifera,1,16.0,0.6305777638916513
pavia,1,21.0,0.6903687930454312
paniculata,1,10.0,0.5599919585758661
nigra subsp. laricio,1,20.0,0.6836071858068314
involucrata var. vilmoriniana,1,15.0,0.6083447120296721
saccharinum,1,20.0,0.6650383354041692
stenoptera,1,20.0,0.659160744158009
speciosa,1,3.0,0.4957580340833116
sinica,1,18.0,0.6678019751631371
sinensis,1,16.0,0.8599064393791253
tomentosa,1,23.0,1.0
terebinthus,1,12.0,0.6010107698172871
suber subsp. Occidentalis,1,11.0,0.5739551189466844
virginiana,1,15.0,0.6123128528616779
